allocation_id,project_id,employee_id,start_date,end_date,allocation_pct
1,2,48,2024-04-16,2024-08-14,50
2,2,38,2024-04-16,2024-08-14,50
3,2,33,2024-04-16,2024-08-14,100
4,2,55,2024-04-16,2024-08-14,75
5,23,41,2024-05-21,2024-12-17,50
6,23,56,2024-05-21,2024-12-17,100
7,32,23,2024-06-05,2025-01-01,50
8,32,3,2024-06-05,2025-01-01,50
9,32,42,2024-06-05,2025-01-01,50
10,32,51,2024-06-05,2025-01-01,75
11,12,24,2024-07-15,2025-04-11,50
12,12,22,2024-07-15,2025-04-11,100
13,10,24,2024-08-12,2024-12-10,50
14,10,45,2024-08-12,2024-12-10,75
15,10,20,2024-08-12,2024-12-10,100
16,21,10,2024-08-31,2025-07-27,100
17,21,58,2024-08-31,2025-07-27,50
18,21,35,2024-08-31,2025-07-27,100
19,15,29,2024-09-12,2025-09-07,50
20,15,23,2024-09-12,2025-09-07,50
21,15,52,2024-09-12,2025-09-07,50
22,35,29,2024-10-01,2025-07-28,50
23,35,58,2024-10-01,2025-07-28,50
24,35,60,2024-10-01,2025-07-28,75
25,35,41,2024-10-01,2025-07-28,50
26,9,33,2024-10-03,2025-04-01,75
27,9,17,2024-10-03,2025-04-01,75
28,9,59,2024-10-03,2025-04-01,75
29,9,47,2024-10-03,2025-04-01,75
30,9,44,2024-10-03,2025-04-01,100
31,1,12,2024-10-29,2025-04-27,50
32,1,37,2024-10-29,2025-04-27,100
33,1,27,2024-10-29,2025-04-27,100
34,5,12,2024-12-08,2025-02-06,50
35,5,25,2024-12-08,2025-02-06,75
36,30,45,2024-12-30,2025-08-27,100
37,30,56,2024-12-30,2025-08-27,50
38,30,13,2024-12-30,2025-08-27,50
39,30,6,2024-12-30,2025-08-27,50
40,30,31,2024-12-30,2025-08-27,100
41,6,55,2025-01-07,2025-11-03,50
42,6,57,2025-01-07,2025-11-03,50
43,6,48,2025-01-07,2025-11-03,75
44,6,13,2025-01-07,2025-11-03,50
45,6,3,2025-01-07,2025-11-03,50
46,26,54,2025-01-25,2025-12-21,75
47,26,51,2025-01-25,2025-12-21,50
48,22,18,2025-02-05,2025-06-05,100
49,22,5,2025-02-05,2025-06-05,100
50,4,40,2025-02-06,2025-09-04,75
51,4,16,2025-02-06,2025-09-04,75
52,7,34,2025-02-18,2025-10-16,100
53,7,42,2025-02-18,2025-10-16,100
54,7,25,2025-02-18,2025-10-16,50
55,7,41,2025-02-18,2025-10-16,50
56,11,52,2025-03-25,2025-06-23,50
57,11,56,2025-03-25,2025-06-23,50
58,17,57,2025-04-05,2025-10-02,50
59,17,17,2025-04-05,2025-10-02,50
60,17,44,2025-04-05,2025-10-02,100
61,17,59,2025-04-05,2025-10-02,100
62,17,47,2025-04-05,2025-10-02,75
63,3,24,2025-05-21,2025-10-18,50
64,3,37,2025-05-21,2025-10-18,75
65,19,3,2025-05-25,2025-08-23,50
66,19,33,2025-05-25,2025-08-23,100
67,19,6,2025-05-25,2025-08-23,50
68,20,24,2025-05-29,2026-05-24,50
69,20,39,2025-05-29,2026-05-24,50
70,25,27,2025-07-20,2026-05-16,100
71,25,55,2025-07-20,2026-05-16,50
72,25,5,2025-07-20,2026-05-16,100
73,25,15,2025-07-20,2026-05-16,50
74,25,36,2025-07-20,2026-05-16,50
75,16,39,2025-07-21,2026-04-17,50
76,16,17,2025-07-21,2026-04-17,50
77,16,12,2025-07-21,2026-04-17,100
78,16,18,2025-07-21,2026-04-17,50
79,16,26,2025-07-21,2026-04-17,50
80,24,31,2025-10-02,2026-03-01,50
81,24,22,2025-10-02,2026-03-01,100
82,24,6,2025-10-02,2026-03-01,75
83,27,60,2025-12-28,2026-07-26,50
84,27,9,2025-12-28,2026-07-26,75
85,28,32,2026-01-15,2027-01-10,100
86,28,42,2026-01-15,2027-01-10,75
87,13,30,2026-01-21,2026-12-17,100
88,13,59,2026-01-21,2026-12-17,50
89,8,10,2026-02-02,2026-06-02,75
90,8,57,2026-02-02,2026-06-02,50
91,8,52,2026-02-02,2026-06-02,100
92,18,34,2026-02-09,2026-08-08,100
93,18,50,2026-02-09,2026-08-08,75
94,14,1,2026-02-10,2026-09-08,75
95,14,41,2026-02-10,2026-09-08,100
96,14,28,2026-02-10,2026-09-08,50
97,14,7,2026-02-10,2026-09-08,75
98,14,25,2026-02-10,2026-09-08,75
99,29,14,2026-03-19,2027-03-14,50
100,29,3,2026-03-19,2027-03-14,100
101,33,56,2026-07-03,2027-04-29,50
102,33,55,2026-07-03,2027-04-29,100
103,34,44,2026-07-17,2027-04-13,75
104,34,52,2026-07-17,2027-04-13,100
105,34,17,2026-07-17,2027-04-13,50
106,34,37,2026-07-17,2027-04-13,75
107,34,27,2026-07-17,2027-04-13,50
108,31,47,2026-08-19,2027-04-16,100
109,31,4,2026-08-19,2027-04-16,75
110,31,24,2026-08-19,2027-04-16,100
111,31,22,2026-08-19,2027-04-16,50
112,31,27,2026-08-19,2027-04-16,50
